customer_id,district,age_group,current_package,monthly_data_usage_gb,youtube_usage_gb,social_usage_gb,voice_minutes,sms_usage,monthly_spend_lkr,reload_frequency,add_on_count,device_type,is_5g_supported,sim_type,router_owned,churn_risk_score,complaint_count,previous_offer_response,days_since_last_change,predicted_best_action,predicted_offer,accepted
C1092,Matara,26-35,10GB,61.5,33.9,7.2,48,252,10117,16,0,4G_Mobile,0,5G,1,0.08,0,Rejected,136,Upgrade_to_20GB,Data_Saver_Pack,1
C1093,Kandy,36-45,50GB,81.8,44.5,24.4,229,260,3091,18,9,4G_Mobile,0,5G,1,0.76,4,Rejected,4,Buy_Social_Media_Package,Social_Unlimited_Add_On,1
C1094,Kurunegala,26-35,10GB,26.4,13.0,3.2,667,87,4374,20,2,Basic_Phone,0,4G,1,0.16,7,Rejected,414,Upgrade_to_20GB,Data_Saver_Pack,0
C1095,Negombo,46-60,100GB,9.5,3.1,1.9,1236,171,8089,23,6,4G_Mobile,0,5G,1,0.57,4,Ignored,230,Retention_Offer,Service_Recovery_Pack,1
C1096,Kurunegala,36-45,10GB,83.1,28.8,22.9,38,462,6041,18,9,5G_Mobile,1,5G,0,0.13,8,Ignored,164,Buy_Social_Media_Package,Social_Boost_Pack,0
C1097,Galle,36-45,50GB,19.3,7.1,6.7,790,311,6749,6,8,5G_Mobile,1,5G,1,0.27,6,Accepted,244,No_Action,No_Offer,1
C1098,Matara,36-45,100GB,89.3,20.8,18.3,1539,132,8199,17,8,5G_Mobile,1,5G,1,0.85,1,Ignored,236,Retention_Offer,20Percent_Loyalty_Discount,1
C1099,Colombo,46-60,20GB,20.2,8.8,5.8,1931,143,1482,10,5,Basic_Phone,0,4G,0,0.67,3,Accepted,62,Upgrade_to_50GB,5GB_Bonus,1
C1100,Kurunegala,18-25,20GB,73.5,21.1,7.8,1004,218,1867,9,1,4G_Mobile,0,5G,1,0.44,4,Rejected,482,Offer_New_Phone,5G_Phone_Upgrade_Offer,1
C1101,Kurunegala,36-45,20GB,60.1,23.7,21.1,363,114,8193,7,2,5G_Mobile,1,5G,1,0.63,6,Rejected,286,Buy_Social_Media_Package,Social_Boost_Pack,0
C1102,Matara,36-45,50GB,92.5,36.4,19.1,1268,401,4452,5,0,Basic_Phone,0,5G,1,0.2,5,Accepted,423,Upgrade_to_100GB,10GB_Bonus,0
C1103,Jaffna,36-45,20GB,107.4,58.5,31.4,403,21,6750,25,2,5G_Mobile,1,4G,1,0.15,8,Accepted,239,Buy_Social_Media_Package,Social_Boost_Pack,1
C1104,Galle,18-25,100GB,117.0,63.6,24.3,1121,207,9538,18,1,Basic_Phone,0,5G,1,0.05,3,Ignored,272,Offer_New_Phone,Smartphone_Trade_In_Deal,0
C1105,Kurunegala,36-45,10GB,50.5,21.7,5.7,1364,326,7060,5,0,4G_Mobile,0,4G,0,0.72,5,Ignored,197,Upgrade_to_20GB,Data_Saver_Pack,0
C1106,Colombo,26-35,50GB,17.6,5.9,2.7,1069,444,10563,23,3,5G_Mobile,1,4G,0,0.16,7,Rejected,72,Upgrade_to_5G_SIM,Free_SIM_Replacement,1
C1107,Kurunegala,36-45,50GB,82.1,21.5,28.6,346,477,4475,24,2,Basic_Phone,0,4G,0,0.39,6,Rejected,154,Buy_Social_Media_Package,Social_Unlimited_Add_On,0
C1108,Jaffna,26-35,100GB,82.5,49.2,23.6,1427,121,1220,20,10,5G_Mobile,1,5G,0,0.18,7,Rejected,18,Offer_Home_Router,Router_Bundle_Deal,1
C1109,Negombo,26-35,20GB,99.8,21.8,25.7,51,498,11637,14,7,4G_Mobile,0,5G,1,0.13,0,Ignored,65,Buy_Social_Media_Package,Social_Boost_Pack,0
C1110,Galle,18-25,10GB,45.5,26.9,6.8,410,47,5074,18,6,4G_Mobile,0,4G,1,0.71,8,Ignored,349,Upgrade_to_20GB,Data_Saver_Pack,0
C1111,Kurunegala,46-60,10GB,18.1,8.8,5.8,537,184,3115,6,5,4G_Mobile,0,4G,0,0.14,8,Accepted,257,Upgrade_to_20GB,Data_Saver_Pack,1
C1112,Kandy,36-45,100GB,88.7,20.4,19.5,1093,239,11686,16,5,Basic_Phone,0,4G,0,0.42,0,Accepted,353,Offer_New_Phone,Smartphone_Trade_In_Deal,1
C1113,Kandy,26-35,100GB,20.6,4.2,7.1,919,53,2536,2,8,5G_Mobile,1,4G,0,0.48,0,Accepted,270,Upgrade_to_5G_SIM,Free_SIM_Replacement,0
C1114,Negombo,46-60,50GB,57.9,25.8,10.8,1975,378,6366,3,8,4G_Mobile,0,4G,0,0.6,1,Accepted,457,Upgrade_to_100GB,10GB_Bonus,1
C1115,Kandy,36-45,50GB,26.6,7.2,10.0,1627,191,877,24,1,Basic_Phone,0,4G,1,0.67,4,Accepted,382,Retention_Offer,Service_Recovery_Pack,0
C1116,Matara,36-45,50GB,106.9,61.1,17.2,1076,318,3372,12,3,Basic_Phone,0,5G,0,0.97,5,Accepted,312,Upgrade_to_100GB,10GB_Bonus,1
C1117,Kandy,46-60,50GB,101.9,35.2,29.3,486,117,3125,23,6,4G_Mobile,0,5G,0,0.58,1,Accepted,342,Buy_Social_Media_Package,Social_Unlimited_Add_On,1
C1118,Kandy,26-35,50GB,57.9,19.3,19.2,743,65,6370,23,2,Basic_Phone,0,4G,0,0.31,2,Rejected,300,Offer_New_Phone,Smartphone_Trade_In_Deal,0
C1119,Galle,36-45,100GB,29.3,15.8,6.8,715,68,7955,5,9,Basic_Phone,0,4G,1,0.7,6,Ignored,182,Offer_New_Phone,Smartphone_Trade_In_Deal,1
C1120,Galle,26-35,100GB,66.4,24.2,21.7,1057,7,951,20,1,Basic_Phone,0,4G,1,0.66,5,Ignored,183,Retention_Offer,Service_Recovery_Pack,0
C1121,Colombo,18-25,100GB,82.2,38.7,21.9,788,235,6149,25,6,4G_Mobile,0,5G,0,0.28,7,Ignored,48,Offer_New_Phone,5G_Phone_Upgrade_Offer,0
C1122,Jaffna,46-60,20GB,58.0,28.9,16.9,1742,296,8608,5,4,5G_Mobile,1,5G,0,0.9,4,Rejected,322,Buy_Social_Media_Package,Social_Boost_Pack,0
C1123,Colombo,18-25,100GB,112.9,50.2,31.1,350,326,6062,9,3,5G_Mobile,1,5G,0,0.89,3,Rejected,27,Offer_Home_Router,Router_Bundle_Deal,0
C1124,Jaffna,18-25,20GB,35.1,16.4,3.9,548,109,5849,5,8,5G_Mobile,1,4G,0,0.62,1,Ignored,391,Upgrade_to_50GB,5GB_Bonus,0
C1125,Kandy,46-60,10GB,4.3,2.0,0.6,1510,75,7964,12,0,Basic_Phone,0,5G,0,0.83,5,Ignored,489,Offer_New_Phone,Smartphone_Trade_In_Deal,0
C1126,Kandy,46-60,50GB,78.8,40.1,14.9,1603,343,9802,19,0,4G_Mobile,0,4G,1,0.01,3,Rejected,244,Upgrade_to_100GB,10GB_Bonus,0
C1127,Jaffna,26-35,100GB,102.9,30.2,29.7,1277,32,2616,25,6,5G_Mobile,1,5G,0,0.49,2,Accepted,468,Offer_Home_Router,Router_Bundle_Deal,0
C1128,Galle,36-45,20GB,39.6,23.2,14.5,377,474,2538,17,1,5G_Mobile,1,4G,1,0.23,4,Ignored,463,Buy_Social_Media_Package,Social_Boost_Pack,0
C1129,Galle,26-35,100GB,15.8,7.4,4.7,1865,56,1149,21,2,4G_Mobile,0,4G,1,0.82,3,Rejected,327,Offer_Voice_Pack,Unlimited_Local_Voice,0
C1130,Kurunegala,36-45,20GB,55.3,13.8,16.7,1031,371,6995,15,7,4G_Mobile,0,4G,0,0.16,3,Rejected,32,Buy_Social_Media_Package,Social_Boost_Pack,1
C1131,Jaffna,26-35,10GB,34.1,9.2,3.8,1317,87,1654,22,6,4G_Mobile,0,4G,0,0.35,0,Rejected,18,Upgrade_to_20GB,Data_Saver_Pack,1
C1132,Jaffna,36-45,50GB,9.4,3.4,3.3,279,493,6567,5,9,Basic_Phone,0,4G,1,0.22,3,Rejected,239,Offer_New_Phone,Smartphone_Trade_In_Deal,1
C1133,Jaffna,26-35,50GB,42.4,18.2,5.1,810,129,3012,7,5,5G_Mobile,1,5G,1,0.12,0,Accepted,186,No_Action,No_Offer,0
C1134,Kurunegala,36-45,50GB,71.4,15.6,23.1,213,491,6207,1,8,5G_Mobile,1,5G,1,0.21,3,Rejected,173,Buy_Social_Media_Package,Social_Unlimited_Add_On,1
C1135,Kurunegala,46-60,50GB,62.8,18.0,14.1,515,213,3518,5,2,Basic_Phone,0,5G,0,0.5,3,Ignored,156,Upgrade_to_100GB,10GB_Bonus,1
C1136,Kurunegala,18-25,20GB,51.5,22.5,14.5,1246,337,10303,16,8,Basic_Phone,0,4G,0,0.61,2,Rejected,253,Buy_Social_Media_Package,Social_Boost_Pack,1
C1137,Negombo,46-60,50GB,111.4,63.6,27.4,311,225,10738,21,6,5G_Mobile,1,4G,1,0.5,4,Ignored,228,Buy_Social_Media_Package,Social_Unlimited_Add_On,0
C1138,Kurunegala,18-25,50GB,53.0,27.2,12.2,1161,322,5462,3,10,Basic_Phone,0,4G,1,0.93,0,Ignored,12,Upgrade_to_100GB,10GB_Bonus,1
C1139,Matara,46-60,10GB,73.1,43.5,8.7,1517,41,3907,7,3,4G_Mobile,0,5G,0,0.3,4,Ignored,198,Offer_New_Phone,5G_Phone_Upgrade_Offer,1
C1140,Jaffna,46-60,20GB,93.8,20.2,11.9,1557,345,1987,6,10,5G_Mobile,1,4G,0,0.67,3,Ignored,492,Upgrade_to_50GB,5GB_Bonus,1
C1141,Kandy,36-45,100GB,32.3,15.1,12.6,1448,21,7859,5,6,Basic_Phone,0,5G,1,0.12,7,Rejected,45,Offer_New_Phone,Smartphone_Trade_In_Deal,0
C1142,Jaffna,18-25,20GB,51.0,22.6,9.2,937,496,6920,21,0,Basic_Phone,0,5G,1,0.73,3,Accepted,164,Offer_New_Phone,Smartphone_Trade_In_Deal,0
C1143,Negombo,46-60,100GB,35.5,19.6,9.8,1071,7,11355,9,3,4G_Mobile,0,5G,0,0.6,2,Ignored,194,No_Action,No_Offer,1
C1144,Colombo,26-35,20GB,5.6,1.5,2.1,497,424,7757,24,4,4G_Mobile,0,4G,0,0.54,4,Ignored,87,Retention_Offer,Service_Recovery_Pack,0
C1145,Kurunegala,36-45,100GB,64.6,16.0,18.2,1931,388,9055,9,3,Basic_Phone,0,4G,1,0.54,5,Ignored,394,Offer_New_Phone,Smartphone_Trade_In_Deal,1
